chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	139213	12755516	0.498908811333585	593	0.0775652935321071	1.04948822132283	858099	0.354751335972787	3	2	1	-6.78407597736763
chr1	12793254	13306100	0.323333953284914	126	0.0966385446778888	0.904353996475544	26204	0.28287632324565	6	6	0	-7.19257748920893
chr1	13306141	16535691	0.499244148932955	189	0.0712870999096713	1.03439674213182	182958	0.349412252224597	2	1	1	-6.75125790630822
chr1	16535787	16870862	0.419130730117232	103	0.117846725673441	1.0122060649416	29992	0.361725014463409	3	3	0	-6.738935202022
chr1	16871068	121387886	0.498915961911942	2099	0.0805830187925339	1.00477404941787	3998383	0.334623558714614	2	1	1	-6.74613287174001
chr1	143544364	145394780	0.498081766438634	17	0.0629563340737054	0.90303121390864	22207	0.347846340697483	0	0	0	-6.73369413319903
chr1	145401273	145510024	0.131515667434069	12	0.044417100174131	0.886206372666067	2600	0.270392042791818	20	20	0	-9.47252036149316
chr1	145518475	248917420	0.498919719267937	2516	0.0829515300300788	0.987775320966602	4355538	0.32583493271939	2	1	1	-6.81943208874352
chr2	262641	33727554	0.498881600896095	513	0.080504600127893	0.994991305765905	1046622	0.329763203636899	2	1	1	-6.73768799576767
chr2	33840420	33840638	0.269470283442572	17	0.0763741756478088	2.7792642821801	218	0.334159531011609	19	18	1	-6.73328964289108
chr2	36441252	88734355	0.467782008976584	674	0.0761055254568689	0.993291181975004	1353733	0.338821131732279	2	2	0	-6.77774927115774
chr2	89040287	91941723	0.495693761839225	18	0.122204866563344	0.953158303440912	40127	0.355659382717093	1	1	0	-6.75258635522301
chr2	94198914	241815379	0.498919523921791	2492	0.0846674872373444	0.969085001823931	4453472	0.35726843423891	1	1	0	-7.05004921270779
chr3	319825	10028652	0.498863325162055	141	0.075809906643451	0.98327306615886	243056	0.310053152606817	2	1	1	-6.75023688176244
chr3	10046555	10064924	0.132314429040811	9	0.0944298681562142	0.987554183707656	2910	0.311058178013791	20	20	0	-7.4389582816619
chr3	10101265	69181650	0.498915535992277	963	0.0775439380408601	1.00515022149573	2376016	0.318839292083843	2	1	1	-6.74254827410102
chr3	69182900	90215656	0.38389248955518	125	0.0984674349312273	0.956666889846977	143157	0.362469842093989	2	2	0	-7.17430388044352
chr3	93470433	194756097	0.496712044457961	1228	0.083334024671333	0.972154936060163	2579979	0.336064504113973	1	1	0	-7.05299325877718
chr3	194991077	198169929	0.49874122232971	318	0.112751609086813	0.954517222450057	191710	0.341289832071396	1	1	0	-6.76289430880596
chr4	60507	48892964	0.498894005222225	816	0.0836109207580614	0.999647507591481	1129294	0.340456836985878	2	1	1	-6.73315642482062
chr4	52597400	190026296	0.496668508082192	1170	0.0902821081086849	0.960286306744524	2387023	0.339558880925629	1	1	0	-6.85437963975549
chr5	155036	44809060	0.498884518572391	570	0.0810731530944985	0.988070624621658	851952	0.339920966495385	2	1	1	-6.76602867484626
chr5	50399214	181281805	0.498913238497368	1848	0.084960262849122	0.985438935037141	3349564	0.34908932790811	2	1	1	-6.86759383161027
chr6	312023	32521898	0.498898160994252	805	0.0793019727761559	1.01499189384943	1187294	0.324599893172564	2	1	1	-6.7738088070671
chr6	32521968	32666452	0.34527189548379	146	0.0940374994297915	1.09955344000445	5838	0.428682637858416	8	8	0	-6.74627291827332
chr6	32666505	60425399	0.498898380897217	783	0.0782078781731117	1.00725275587208	1253028	0.328644420426673	2	1	1	-6.74132381417869
chr6	61600654	170561964	0.49890189521863	1123	0.0858540831713275	0.96291714682986	2248367	0.356199923655951	1	1	0	-6.87769851101282
chr7	208605	54201581	0.498898835076452	922	0.0807190971928326	1.04188468954809	1425650	0.392540858674696	3	2	1	-6.792581931853
chr7	54419498	57469686	0.498649485745036	70	0.139249898989299	1.08101141263721	80076	0.394575973606073	4	2	2	-6.73662402796532
chr7	63559054	100951681	0.471988745768358	477	0.0850419357862579	1.02983114610644	1164740	0.358684941212207	3	2	1	-6.7989942665137
chr7	100951719	100960725	0.300255616675379	136	0.0766446458855372	1.08213775681133	5022	0.352688508081765	12	12	0	-6.73766281363863
chr7	100960738	102606053	0.499121575644722	266	0.0880762380298463	1.07261902460637	129228	0.316664086913724	4	2	2	-6.73930865974414
chr7	102639439	142332938	0.498884276934476	565	0.0760278670332039	1.00338783727259	1141335	0.340815682890128	2	1	1	-6.7355864706939
